"","SPY","AAPL"
"1996-01-03",0.00276634232919349,0
"1996-01-04",-0.0095293901760024,-0.0175094446507107
"1996-01-05",-0.00202530763211581,0.0851483046307822
"1996-01-08",0.00380554292049542,0.0109490263094359
"1996-01-09",-0.0171847488792184,-0.0541513296790907
"1996-01-10",-0.0131142868504237,0.0458010753091889
"1996-01-11",0.00599309775248263,0.0218980526188717
"1996-01-12",-0.00155482764053644,-0.0321432053267238
"1996-01-15",-0.00207524307667594,0.00738045888976404
"1996-01-16",0.0122177799392889,0.0128205012715105
"1996-01-17",-0.00308167465409544,-0.0162745957811281
"1996-01-18",0.0033483602972056,-0.0606619525130851
"1996-01-19",0.00667604865889952,-0.0645794692074688
"1996-01-22",0.000254673009466124,0.0209210747003374
"1996-01-23",0.00229430354535086,0.0368846221684683
"1996-01-24",0.00814043782098261,0.0197633875760493
"1996-01-25",-0.0035318749098138,-0.0620158363859411
"1996-01-26",0.00860896617840019,0.0123968285906497
"1996-01-29",0.00401708014866523,-0.0489801162570102
"1996-01-30",0.00850291996762273,-0.0622315807250024
